urdu,roman-urdu
کرتا,qabz
نمٹنا,nimatnaa
منطبق,muntabiq
قابض,qaabiz
رگڑالو,ragdaaluu
جھیں,jhiin-jhiin
گلاب,gulaab
لتعلقی,ta^alluqi
ثر,saraa
کھسکانا,khiskaana
بدرُو,Badru
KHaamoSH,shnsy
تیغ ہندی,teg-e-hindii
وائے,vaae
شرم,bey sharam
ورقان,Warqaan
چودھری,chaudhary
تقریظ نگار,taqriiz-nigaar
ریاست,riyaasat
منیرہ,Munira
چنگاریاں,chingaariyaa
تعظیمی,taa'ziimii
دھوبی گھاٹ,dhobii ghaat
پر خشوع,pur-khushuu'
راقم,raaqim
قرنین,qarnain
رفاہت,Rafaahat
رفد,rifd
نزدانا,Nazdana
فارورڈ,forward karnaa
جیسن,jaisan
پٹخنا,patkhna
بڑا دن,badaa din
آئتا,aaitaa
لب آب,lab-e-aab
حاتم,Hatim
بھرکیہ,bharkiya
پوچھنا,puchna
پائی,paayi
مناقب خوانی,manaaqib-khvaanii
اوریاہ,auryaah
اِرد,ird
حیاطت,Hayatat
گدڑی,guddii
ماہ طلعت,Maah-e-Talat
سوزاکی,sozaakii
کیفیتیں,kaifiyaten
کا,ma
خرسندی,Khursandi
تالی,taali
زایدہ,zaayida
رہنمائی,rehnumayi
خلیہ رس,khaliya-ras
گاڑھے,gaade
کاتفہ,Katifa
دائمی,constant
گائل,gaail
سب,roz
فیشن,fashion-zada
موافق المرکز,muvaafiq-ul-markaz
آبلہ دار,aabla-daar
سمجھنے,smjhne
گردش محوری,gardish-e-mehvarii
رشفہ,Rashfah
اسپ,asp
فرغنہ,fargana
دو شاخہ,do-shaakha
خط زن,khat-zan
شمشیرہ,shamshiir-e-hilaalii
جماد,jamaad
مستہدی,mustahdii
سالہا,ha
منیرہ,Munirah
صنوبر,Sanobar
چڑھاوا,chadhaavaa
بلقیس,Bilqis
متشاعر,mutashaa'ir
نواسے,nawase
بھلی,bhalii
مغرق,Mughriq
رہیئے,rahiye
گناہ صغیرہ,gunaah-e-sagiira
کر,faisla
موازانہ,muuvaazaana
سیدھا کاٹ,siidhaa-kaat
زندگانیٴ,zindagaani
سینہ بہ سینہ,siina-ba-siina
عام طور پر,aam tor par
مفتوحہ,maftooha
وقت پڑنا,vaqt padnaa
تیزٹی,lhr teyz
دار الامان,daar-ul-amaan
حُزُمت,Huzumat
مکاشف,Mukashif
الحافظ,al-hafiz
خاک دان,khaak-daan
گئے،,allah
تلفظ,talafuz
نافرمانی رنگ,naafarmaanii-rang
اثنان,Asnan
لا کلام,laa-kalaam
حرمتیں,hurmate
جیسا تیسا,jaisaa-taisaa
اپکار,upkaar
نفیس مزاج,nafiis-mizaaj
دلآویز,dil aawez
انقیاد,inqiyaad
سنسنی خیز,sansanii-khez
برتتے,aur
کچھ,yeh
مزہ دار,mazaa-daar
بھوکا,bhuka
دوپٹ,do-pat
خلق,kaj khulq
تیموریان,taimooriyaan
اثری,asarii
سلیمہ,Saleema
لوہار خانہ,lohaar-khaana
شکنجہ,shikanja
کلومیٹر,kilometre
سورہ,Surah
تانٹھ,taanth
اس پر,us par
لیبا,Liba
ماکڑا,maakdaa
اخلاق,akhlaq
رویہ,Rawiyah
برين,brain
اشوستا,Ashavasta
تواچی گری,tavaachii-garii
طائر خوش الحان,taair-e-khush-alhaan
دور,daur
صدام,Sadam
آپکے,aapke
پجایا,pajaayaa
لڑھا,ladhaa
کرنسی)کے,currency) ke
مور تخطی,mor-takhtii
کنگڈم,kingdon
ہشت پہلو,hasht-pahluu
سپنے,sapne
رکت آلو,rakt-aaluu
قابل ادائیگی,qaabil e addaa
جازم,Jazim
ظفیرہ,Zafeera
پھاکڑا,phaakdaa
نظیر,Nazzir
نتھار,nithaar
قاضئ,qazi
ہلڑ,hullar
عمارہ,amaara
فتین,fitiin
انٹرویو,interview
وقف اولاد,vaqf-e-aulaad
کنوارپن,kunvaar-pan
مسلمہ,musallima
معیار تعلیم,me'yaar-e-taa'liim
حلف,hulf
شفاعت,shafaaat
الیگزینڈریا,alexandaria
شریفہ,Sharifah
ترجمہ کرنا,tarjama karnaa
خرقہ پوش,Khirqa Posh
پچن,pachan
مفرس,mufarras
سگوتری,sagotarii
عشق میں,mbtlishiq meyn mubtila
ثقل نوعی,siql-e-nau'ii
ملیچھ جات,mlechchh-jaat
سیکس,siikas
بشریات,bashariyyaat
درباری,darbaarii
کھائ,khaa
طریق کار,tariiq-e-kaar
چہر,chihr
ضعاف,zi'aaf
کنول کٹورا,kanval-katoraa
باتشہ,Batshah
خواںں,khwaan
وارفتگی,waraftagi
وریقہ,Wariqa
متعسر,mut'assir
میتھین,methane
عبدالمعز,Abdul Muiz
معاوضے,muaawze
حماس,hammas
سدھیر,sudhir
سری,suri
محافﻆ,muhaafiz
پچی,pichchi
قصائن,qasaain
نادر,Nadar
چباک,chabaakii
خسارے,/loss
ازہر,Azher
بالک باڑی,baalak-baadii
فنی,fannii
عامی,aamii
عثمانیہ,usmaniya
جھانج,jhaanj
غفیر,gafiir
ہیرا,hira
تجاوز,kar
شہرت پرست,shohrat-parast
سچیتا,sucheta
چو بندی,chau-bandii
اُنہں,inhe
بفر,bafar
مفاہمانہ,mufaahimaanah
لبھیرا,labheraa
بھنیج,bhanej
تیغ زن,teg-zan
پہچاننا,paeh
پاکستان ،ڈاکٹر,pakistan
موزون,mauzuun-e-tab'
جائیں,chad
جوزف,jozef
مخالفت,mukhalifat
سواہا,suvaahaa
شیر مادہ,sher-maada
عینا,Ainaa
ایک,banaya
مرقہ,maraqa
تھڑے,ade-thude
منفی رواں,manfii-ravaan
پلانٹ,power-plant
پرایا جرم,paraayaa-jurm
دوریا,duuriya
دواری,davaarii
حلیہ,huliyah
الزامی جواب,ilzaamii-javaab
مغاں,mughan
سوسہ,sosah
نہب,nahb
قابل رہائش,qaabil e rehaaish
خصم,Khasm
صحیح شکل,sahiih-shakl
لڑائی,ladayi
عبدالمتین,Abd Al Matin
چھاپا,chhaapa
خاطرا,khaatiran
ہول,hole
سوہان گر,sohaan-gar
تقویم,taqviim
زر,zar
پیماں,paiman
چکر,chakkar lagaana
شکر خورہ,shakar-khora
نادرستی,naa durusti
جازمہ,jaazima
مہا اشٹمی,mahaa-ashtamii
تصدیق,tasdeeq
کونے,koney
لوگ,baaghon
غالیہ بار,gaaliya-baar
چڑھاوا,charhaawa
نظر غلط انداز,nazar-e-galat-andaaz
شریں,Shirin
خوش مزاج,khush-mizaaj
جگرنہ,jigarna
ارولی,arvalii
کرنے,tumhare
یوم,yome
لوگ,in
فاطر,Faatir
کسٹرڈ,custard
دو ضربی,do-zarbii
گاہ,razm gaah
شخصیت,shakhsiyat
خوبیاں,khuubiyaan honaa
ذابل,Zabil
حادثۂ,hadsa
سیلری,salary
نچی,nichii
جلوۂ,jalva
چراؤ,chiraav
اقوام,aqwam
انسانی,insaanii
ڈائیگرام,diagram
دینا,qaraar
شرف,Sharaf
ہبہ,Hibah
افضیہ,afziya
دماغی,dimaaaghi
لوکس,loks
بھوسلا,bhuuslaa
مزمنہ,muzmina
متعہ,muta
چھچھلا,chhichhlaa
تنسیق,tansiiq
خط غبار,khat-e-gubaar
اقتباس,iqtibaas
راجستھان,rajasthan
زنجیریں,zanjiiren pahnaanaa
مخالفین,mukhalifeen
جلیلہ,Jaliilah
طیرہ,tiyara
خدا,khudaa
لحنہ,gul-e-lahna
تقرب,haan
نانہ,Naanah
تمل,tumul
غرا,gharra
عشیر,Ashier
حاسن,Hasin
سرنوشت,nawisht1
تامینی,taamiinii
چپڑی,chupri
لرزہ,larzah
گره,girah
slab,slam
زرکش,Zerkash
سکتا/سکتی,sakta/sakti
فسوں کار,fusuun-saaz
ایجادی,iijaadi
کبریہ,Kibriyaa
رائے,ray
سکیڑنا,sukednaa
لوزتین,lauzatain
مواعید,mavaa'iid
بچے,bachchey
شبانہ,shabaanah
شراکت مساوی,shiraakat-e-musaavii
آوازہ,aavaaza
کانونٹ,convent
معراج جسمانی,me'raaj-e-jismaanii
معدوم,madoom
آسمانوں,aur
مسبح,musabbih
جستی,jasti
حرائی,harraaii
موقوفی,mauquufii
عسکریہ,askariyyah
مختصر سوانح,`mry mukhtasar sawaaneh
نوین اوستھا,naviin-avasthaa
عترت,Itret
مصالحت,musaalihat
جہلستان,jahlistaan
عامر,aamir
کاتفہ,Kaatfah
قتور,qatuur
سواع,Sawaay
مجریہ,mujriya
صفوں,safon
جھنجjhuñ,jhulaahat
عہدے پر,btthnohdey par bithaana
تخم حرام,tukhm-e-haraam
برنج گندہ,biranj-e-ganda
قافیے,zatal-qaafiye
دیوان الحبوس,diivaan-ul-hubuus
سیہ نموں,siyah-numuun
گہراؤ,gahraav
اکسانا,uksaana
ٹھس ٹھس,thus-thus
دھانگ,dhaang
آشیان,ashiyan
مکتوم,Maktoom
ڈانٹ,dant
رادہ,raada
لیس,liis
حافظہ,haafizah
رالف,ralf
آہستہ,aahistah
عہد فراموش,ahd-e-faraamosh
ڈیک,deck
انتظار کی,fhrstintezaar ki fehrist
موتیے کا پھول,motiye kaa phuul
گزارش گر,guzaarish-gar
دلوح,Dalooh
حوصلہ افزا,hausla-afzaa
چندھلانا,chundhlaanaa
ضمہ,zamma
طی,tayyaara
من,u
جوتیاں,jootiyaan
گھیر چپیک کے,gher chapek ke
بداقبال,bad-iqbaal
علوی,alvi
دافی,Daafi
شربیہ,Sharbiyah
سجل,Sajjel
جھکاؤ,tab'ii-jhukaav
سخرہ,sukhra
نامور,naam war
رطب,ratab
اڑانا,uraana
شکوہ سنج,shikva-sanj
ظالم,zaalim
اندھیریا,andheriyaa
حربے,harbe
ساجدہ,Sageda
سلسلا,silsilaa
انڈودوال,individual
مشہور,mushhoor
نمک,naam
رہئے,rahiye
بدبین,bad-biin
دھڑکنوں,dhadkanon
حجری عہد,hajarii-'ahd
غییام,Ghiyam
یتیموں,yatimon
مسلوبی,masluubii
حمیمہ,Hameema
دائر,dair
چھپتی,suurat nahiin chhuptii
اتنا اتنا,itnaa-itnaa
چشم لگن,chashm-e-lagan
بایں ہم,ba-iin-ham
مجرہ,Majarah
ناکافی ہونا,naa kaafi hona
پونہ,Pooneh
صادقانہ,saadiqaanah
اڑانے,udaane
چغہ,chuga
بسم اللہ,Bissmillah
وه,teherne
قافیہ بندی,qaafiya-bandii
ماڈل,modal
مکرات,mukraat
آب و باد,aab-o-baad
اٹھائیسواں,aththaaiisvaan
راجا دھراج,raajaa-dhiraaj
امائلوز,emailoz
ٹھڈھی,thuddhii
پھنی,phani
فوجی قانون,faujii-qaanuun
دیکھ,dykh
میں,ne
دھما,dhama
چکامک,chakaamak
کہہ,ose
جہات,jihaat
نمرق,numruq
کہ,izan
حانڈ,hand
مضموم,mazmuum
ماثرہ,Masira
ٹھکرا,thikraa
درود کی جگہ,duruud kii jagah
خام مغزی,khaam-magzii
ادیم,adiim
تشنگیٔ,tishnagi
ڈاکہ,daakah
میں,nang
تھے,daraan
نور ایمانی,nuur-e-iimaanii
شادی کی,shaadi
میناکاری,meenakaari
کاشی کار,kaashii-kaar
ندیدے کی کھٹیا,nadiide kii khutiyaa
کڑھاؤ,kadhaao
عفت,Affat
جامع,Jame
ادائ,adaa
الہڑ,pn ullhar
بڈھنگا,bidhangaa
رفیق کار,rafiiq-kaar
جوہر قابل,jauhar-e-qaabil
دھرمی,dharmi
ہرار,Harrar
زہر,zahr
حیواں,haiwan
کریں,daryaaft
موسوسہ,muvasvisa
لیٹر پانی,litre
پہنچا,ponch
دست افشار,dast-afshaar
نربکار,nir-bikaar
سلگاپا,sulgaapaa
اقتضاض,iqtizaaz
متقی,Muttaqee
معرب,mu'arrab
یاسمینی,Yasmine
نور افزاﺀ,Noor Afza
ٹھہار,thahaar
اکواس,Akwas
چھکانا,chhakaanaa
تحیر,Taheer
سکڑنے,sukadne
شاہ چینی,shaah-chiinii
ڈھومرا,dhuumraa
عالی شان,aaliishaan
گبرگہ,Guberga
سراط,Sarat
طبیعی,tabii^
میانگ,miyaan-e-girah
افتخار,iftakhar
رنج و الم,ranj-o-alam
واﻻ,jaane
گھر گھرانا,ghar-gharaanaa
اگھاڑا,aghaadaa
بہرہ,hai
معذور,maazoor
خون فشانی,khuun-fishaanii
میتھانول,methanol
موقر,muuqar
زالہ,Zaalah
مسلوب الارادہ,masluub-ul-iraada
راست فکر,raast-fikr
پاستان,Pastaan
iñteqaam,leyna
غیر,ghair
کہلاتی,kehlati
سمجھ دار,samajhdaarii
سطح بین,sath-biin
شمیم,Shamem
ٹیک,tek
دیکها,deka
لیزبین,lesbian
شست بین,shast-biin
پیغام,paigham
نرا,nara
بھنڈر,bhandar
ناظم تعلیمات,naazim-e-taa'liimaat
علویوں,alwiyon
بچوں کا,jwtbachchon ka juuta
نارنج طلائی,naaranj-tilaaii
اہم,eham
میر عاشقاں,miir-'aashiqaan
خوشیاں,khushian
اشرک,ashrak
فرش قالی,farsh-e-qaalii
مرتیو,mirtyu
کالی لاٹ,kaalii-laat
چوکی پہرہ,chaukii-pahra
ملئم,mulaaem
حلاحل,Hilahil
مزاح نگاری,mizaah-nigaarii
دنی,dinii
چاہیں,chahein
شہزادے,shehzade
عبدالرؤف,Abdul Raouf
موٹی جھونٹی,motii-jhontii
یوں,yoon
اعیان,aa'yaan
گڑیا جیسی,gudiyaa jaisii
آواز,aavaaz
سینا,seyna
ruuHeyñ,hon
سکاٹ,sikka thonknaa
دریغ,dareegh
زراعت کاری,ziraa'at-kaarii
فرکی,firkii-aaraa
چوج,choj
تیر افگن,tiir-afgan
عطا,Ataa
تسلیم,sar
پیدا ہونا,paidaa honaa
لوگ,kehte
رنجوری,ranjuurii
jañgli,sey
مریخی,mirriikhi
پحلوسوپحير,philosopher
کوفت,koft
مکان ہو,makaan-huu
خامسہ,khamsa
رکھا,darja
صادت,Saadaat
چھابڑی والا,chhaabdii vaalaa
فخری,Faakhri
برف باری,barfbaarii
بنایا,banaya
تہیا,tahayyaa
مقایس,muqaayas
پنڈال,pandaal
مسعو,mas'uudii
سخن فہم,sukhan-fahm
جگانے,jagane
جگرکاوی,jigar-kaavii
راز دار,raazdaar
ہوا،,hoa
سارق,Sarique
نیم خبطی,niim-khabtii
نور صبح,nuur-e-subh
نمیش,nimesh
زاویہ,zaaviya
jis,nah
مہک,Mehak
ستاس,stas
ٹکسال سے باہر,taksaal se baahar
القوی,al-qavii
کبیر,kabeer
بالغاں,madrasaa-e-baaligaan
تیرنے,tairne
معتبر,karde
سیاہ دروں,siyaah-daruun
لاثانی,La'Sani
کوآپریٹو,co operative
چکول,chakol
گودنا,godnaa
ٹالنی,tahalnii
یقین,wa
اسہال,ashaal
تخم,tukhm
خطی,khitti
ہوئے,huye
مغالطے,mugaalte men daalnaa
بڑبولا,bad-bolaa
تباہر,Tabahhur
یجر وید,yajurved
گرم زبانی,garm-zubaanii
نو خیل,nau-khail
جنسی,mlpjinsi milaap
خسرو,khusrau
کیونکہkiyuñ,keh
میٹھے,miithe
بھنودری,bhinnudarii
صوفیائے,soofiyae
ہوشیاری,hoshyaari
سپنجہ,sipanja
فیضؔ,faiz
سٹیونز,stevens
نوم,nom
نگہ لطف,nigah-e-lutf
بس,ab
ظاہری,zahiri
آف,of
دیا,ke
بچہ,baccha
نسیان کامل,nisyaan-e-kaamil
کھنچائی,khinchaaii
تھپکنا,thapaknaa
ویدر,weather
دھوکےباز,dhoke-baaz
طغادہ,Taghadah
تعمیلات,taa'miilaat
حسن صوری,husn-e-suurii
نشٹ,nasht
صبغت اللہ,sibghatullah
لگاتا,lagata
کوکر چندی,kuukar-chandii
موش خانہ,muush-khaana
حصہ,mein
اکڑنا,akarna
پلٹا,pulta
گریس,graceful
اوثان,ausaan
خلہ,khala
کھ,khaata
عجائب,ajaaib
اوصت,Ausat
پیمانے,paimaane kaa ghuumnaa
غدیرہ,Ghadira
مقمح,muqmah
پھیکی,phiiki
انشاد,inshaad
پار,paara
چکری,chakri
پاسکل,pascal
اسے,aur
مساکین,masaakiin
ناطر,naa-taraf
سے,kaam
ترین,qarar
بجھی,bujhi
فيه,feeh
چہلتہ,chihalta-posh
لاریں,lahren
دابو,daab-o-aadaab
گوڑے,gode
تھاوں,thaavn
عبدالقابض,Abdul Qabiz
فرحین,Ferheen
اقتاب,aqtaab
قواعدی,qavaa'idii
افلاک,aflaak
حالے,yeh
بادامہ,Badamah
کنامی,kunaamii
تربتر,tar-ba-tar
خدا باپ,khudaa-baap
رخانی,rukhaanii
باد دبور,baada-e-dabuur
چپچپات,chechiyaat
صفیحہ,safiiha
صغیرہ,Sagirah
جائے،,jaye
من کی دنیا,man kii duniyaa
انقلاب,inqalab
کسمساہٹ,kasmasaahat
نامکمل,naa-mukammal
دم پخت,dam-pukht
مانجھن,maanjhan
جگن,jagan
باختگی,dil-baakhtagii
آشا,aashaa
سیال,Syyal
مختار نامہ,mukhtaar naamah ofattorney
النفس,ziiqun-nafas
دمبالہ,dumbaala
سے,di
ورت,uurat
جئے,jiye
سلیٹی رنگ,siletii-rang
نبیؐ،,nabi
مجرب,mujarrab
جراللہ,Jarullah
معود,ma'uud
تیر مژہ,tiir-e-mizha
خلیری,khalerii
پورے دن,puure-din
مہتمی,mohtamammi
مہرجان,mihrjaan
مطالبہ کرنا,mutaalba karnaa
منضبطہ,munzabita
خشک,qushk
ہپ,h
امارد,amaarid
پوتھا,pothaa
فنڈز,fndz
وکالت,Wakaalat
بے,ho
اس,is ko do
عیش پسندی,aish-pasandii
ہِب,Hibb
کساننی,kisaannii
ایندھن,eendhan
لوها,loha
ماسکونیات,maasukuuniyyaat
کویت,kuwet
داؤد,daauud
اعجاز بیاں,e'jaaz-e-bayaan
بہڑی,behri
صاحبزادیاں,sahbzadyan
چلواس,chilvaas
مفترضات,muftarazaat
شوخ زباں,shokh-zabaan
مشرب,musharrab
درجہ,darjae
ﻻدیتا,la
پانچالی,paanchaalii
حرارت گیر,haraarat-giir
موت پاتر,muut-paatr
مناسبت,zyada
خدشہ,khad shah
سلیمان,Suleiman
ابوعبدالرحمٰن,abu-aburrahman
بروگ,birog
تجرید,tajreed
پڑھویا,padhvaiyaa
لگادی,laga dee
بلکا,balki
سادنی,saadnii
پڑوسا,padosaa
حلقہ زنجیر,halqa-e-zanjiir
حیوانسی,haivaansii
امراضیات,amraaziyaat
استقلل,isteqlaal
بین,bain23
فرزانگی,farzaangii
اچھا,kar
حصار,Hisaar
تہیں,tahen
بھاؤ,bhaao
اپجانا,upjaanaa
صبوح,Sabooh
روٹي,roti
یک رو,yak-ruu
گلبرگ,gul_barg
مہابل,mahaabal
فرمائیں,farmayi
مدمقابل,madde muqabil
لیلٰی,laila
خدا کے مارے,khudaa ke maare
سالبہ,saaliba
مزیلہ,muziilut-taa'diya
ہالتہ,ahl-e-ta'ayyush
دارفانی,daar-e-faanii
دیمک کھایا,diimak-khaayaa
سیدھا,siidha
سکچی,sikchii
مخصوص کرنا,makhsuus karnaa
سربکف,sar-ba-kaf
ريڈ,read
سرزمین,sarzamin
تھانٹ,thaant
سابان,saabaan
قدوسی,qudduusii
حصار,hisaar
فراشینہ,firaashiina
مزمل,Muzzamil
کشاء,Kushaa
نگران کاری,nigraan-kaarii
ذکور,zukuur
فجی,fajii'at
پاکھل,paakhal
دلت,dalat
کوفے,cofethanks
قانونی,qanuni
موشگافانہ,muu-shigaafaana
دے,dega
جبین سائی,jabiin-saaii
معتمد اعلی,mo'tamad-e-aa'laa
لغت ساز,lugat-saaz
نیوٹن,newton
نہ,sarzad
میراث مفقود,miiraas-e-mafquud
جاذب,Jazab
ابنیت,abniit
بشمولجدخدجددج,bashmole
کوٹلی,kotlii
صبح,saaye
ذبد,zabad
درویش پروری,darvesh-parvarii
شرعی داڑھی,shar'ii-daadhii
سرسراتے,sarsarate
پرجنا,prajnaa
خلاف,khilaafe
پھپٹ بازی,phapat-baazii
بعید,ba'iid
وه,wo
چندھیا,chundhiyaahat
لوح طلسم,lauh-e-tilism
لطف و کرم,lutf-o-karam
صاحبان,sahiban
لکچررشپ,lectureship
رگڑا جھگڑا,ragdaa-jhagdaa
اسٹارٹ,starter
گوندھنا,guundhna
ر،,raa
مسلّم,msllm
جوکچھ,jo-kuchh
نناد,ninaad
نقدی فصل,naqdii-fasal
برائتی,biraaitii
اینٹھ کر,chlnaenth kar chalna
مجتمع,mujtama'
نکھرا,nikhraa
بدخواب,bad-khvaab
دو راع,do-raahii
ناکشودنی,naa-kushuudanii
خاکباز,khaak-baaz
گے؟,lengey
ذیخ,zii-khirad
طلعت,tala^at
دسترس,dastaras
پاپوش در بغل,paaposh-dar-bagal
زمانی اختلاف,zamaanii-ikhtilaaf
تلیمان,Taliman
سمجھ,paida
منجو,manjuulaa
فیروز,Firouz
طلائع,talaae'
خیدہر,Khidhr
باپ,daado
نان سنگی,naan-sangii
گئے گزرے زمانے میں,gae-guzre zamaane men
لاجوردی,laajavrdii
مناقشات,munaaqashaat
دنیائے پیرزال,duniyaa-e-piirzaal
زیست,zist
نقرئی گھوڑی,nuqraii-ghodii
فلاح و بہبود,falaah-o-bahbuud
کو,jinko
خاصے,khase
مغالب,mugaalab
دور نظر,duur-nazar
عمر,Omer
فراغت,faraagat
سلوات,salwaat
درد گیں,dard-giin
امرواقع,amar waaqe
عدید,Adeed
مقابلہ,mokabala
خم رخی,kham-rukhii
فگن,figan
محراب نشینی,mehraab-nashiinii
صُلافہ,Sulafah
آستینوں,aastiinon-daar
ترل,taral
ہائیڈروکاربن,hydrocarbon
زرق برق,zarq-barq
امریکی,amrici
باد سنج,baad-sanj
جنه,jana
سانڈنی,saandnii
چنریا,chunariyaa
کار,kaara
ہے,zaabta
میدان مصاف,maidaan-masaaf
عابس,Aabes
پھینی,phenii
گزرے,huey
شہود,shuhuud
لوٹے,lote
پوڑھ,podh
چھیلاپن,chhailaa-pan
خواہر,khwaahar
نسیم,Naseem
طفاوہ,tufaava
ٹانگی,taangii
نظری مفروضہ,nazarii-mafruuza
دلال,dallal
فیضی,faiz-yaafta
سراغ رسانی,suraag-rasaanii
دھاگا,dhaagaa
زلفین,Zulfin
اسم صفات,ism-e-sifaat
درجہ,ba
تہمت متقابل,tohmat e mutaqaabil
سانسا,saansaa
كوتر,Kawtar
کبڑا,pn kubra
فریال,Firyal
صنعت,sinate
حاسب,haasib
تازہ,o
دم گزا,dum-gazaa
پراجت,paraajit
چوڑوا,chuudvaa
باپ کے مولوں,baap ke molon
روشانے,Roshany
حیات,e
یہ,jhakoley
کی,rehmath
ٹل,tal
صحاف,Sahaf
خداع,khidaa'
اکٹر,aktar
بادشاہ,Baadshah
ناہدہ,nihaada
انوار المجالس,anwarul majalis
راہ شوق,raah-e-shauq
ذوقیات,zauqiyaat
سمندری بوٹی,samandarii-buutii
واقعی,waaqeyi
لزجہ,lazija
دانت,dkhhy'daant dikhaa
سکمارت,sukumaartaa
کیوں,kyo
نرگسیت,nargisiyat
یادگار,yaadgar
حباب سا,habaab-saa
KHelaaf,tawaazo^
صفت,sifat
متعلقین,mutaalleqeen
ماورہ,mawra
تخت,sultanat
میزان الازر,miizaan-ul-azar
جزائل,jazaail
چپ کی داد,chup kii daad
ٹوپی دار بندوق,topii-daar-banduuq
پچھاں,pachhaan
زانوئے,zanu
رائت,Rayet
سے,tajaawuz57
سوانح نویس,savaaneh-naviis
چکل,chakkal
کلمہ کفر,kalimaa-e-kufr
قرض گیر,qarz-giir
ارنی چھوٹی,arnii-chhotii
*,*
اشتہار,ishthr
شانہ,shaana
عیادت,iyaadat
انجام بیں,anjaam-biin
سیار,siar
ضوافگنی,zau-afganii
سیاند,siyaand
لتری,latrii
اخلقی,ekhlaaqi
ہامیش,Hamish
جفتک,juftak
اعوان,Awaan
مجید اللہ,majeedullah
دعائے,duaa-e-bad
گنگناہٹ,gungunaahat
کارفرما,kaar-farmaa
ہندسہ,hindsa
دباو,dabao
خاموش,qamoosh
صراحی کش,suraahii-kash
پیدل,paedal
سنوارے,sanvare
جہودی,juhuudii
موجود,nishani
استرا,astaraa
مہاسبھا,mahasabha
کٹکٹانا,kitkitaanaa
عملداری,amal-daarii
نگارش قلب,nigaarish-e-qalb
ًمختصرا,mukhtasaran
نائیٹی,nighty
زمان,Zaman
جھواڑ,jhavaad
عیل,iil
لُو,lo
محارب,muhaarib
ماہکنعان,maah-e-kan'aan
آئیں,aaiin
آساں,aasan
نگر نر ناری,nagar-nar-naarii
غاسقہ,Ghasiqah
میواڑ,mevaad
عہد نامہ,qdymahed naamah qadiim
حقانیت,haqqaniyate
تیکھی,teykhi
بیابان,bayaabaan
موت معنوی,maut-e-maa'navii
الدین,uddeen
رنگ و نسل,rang-o-nasl
نکال,latey
شرط اولین,shart e auwwaliin
فہرست,fegriste
دلارا,dulaaraa
دارانہ,daaraana
رہا,rahaao
بھنبنی,bhunbunii
شمع,shamma
جانی دشمن,jaanii-dushman
دیدو,dedo
نداء,Nidaa
لیوے,leve
چبھانا,chubhaanaa
مشرقیت,mashriqiyyat
ره,phati
پچھل,pichhla
فیصد,fisad
انفی اصوات,anfii-asvaat
شواف,Shuwaf
میراب,meraa bhaaii hai
مقبول,Muqbeel
کیسہ,Kaysah
ملقط,milqat
ملیچھ بھاشا,mlechchh-bhaashaa
تولا,taula
بخشتا,bakshta
لائی,laaii
امنڈنا,umandnaa
ٹاری,taarii
مبادا,mabaada
حظوظ,Huzuz
کا,qism
بار,Bar
اولیاء,aulia
نیب کا تنکا,niib kaa tinkaa
معاف,qataaye
جارحانہ,jaarehaanah
لجنسی,laa jinsi
غلیظ,ghaliiz
کوچئی,kuuchaii
تسلیم,tasleem
گردا,gurda
یاشم,Yaashim
مکاتب خیال,makaatib-e-khayaal
تنہا خوری,tanhaa-khorii
ماتم,matam
چار طوفان,chaar-tuufaan
گیراج,motor-garage
تھلتھلانا,thalthalaanaa
گھٹاؤ,ghataao
فہم و ادراک,fahm-o-idraak
اثرہ,Asarah
منازل بہ منازل,manaazil-ba-manaazil
تختہ گردن,takhta-gardan
اکاؤنٹ ہولڈر,account-holder
حادالزاویہ,haadduzzaaviya
سنجوگی,sanjogii
عسرالبول,usr-ul-baul
اسی,taraf
زمانۂ,zamaana-e-salaasa
لہراتی,laehraati
بھگرا,bhagraa
ہسپانوی,haspaanvi
اپنے,kharch
یہ,[yeh
بکش,bakhsh
حاصرہ,haasira
دروغ باف,darog-baaf
انسلٹ,insult
نادانستہ,naa-daanista
خنداں,khandaan
مق,maq
مخصص,mukhassas
دجدخدخ,jadeed
غنچگی,gunchagii
راکسس,Rakisis
خورابہ,khoraaba
رستار,rastaar
کھدی,khudii
یاتری,yaatrii
ابوبکر,Abu Bakar
ڈائری,direct-rang
ربط,rabt
جوف دل,jof e dil
مارک,marking
غیر موزوں,gair-mauzuun
بکر,bakr
کھولے,khole
بچّہ,bachcha
شام اودھ,shaam-e-avadh
ناکردہ,naakarda
چرپراپن,charparaa-pan
سا,saa
شیرازہ,shiirazah
پریہ,prea
تہ بار,tah-baar
یزداں پرست,yazdaan-parast
اشفاق,Ashfaaq
منادمت,munaadamat
پتھریلی,pathriilii
توبہ استجابت,tauba-e-istijaabat
صعیدی,sa'iidii
پالائش,paalaaish
گیسو کمند,gesuu-kamand
دانت,daant
ڈرو,daro
بچنگ,bachang
زمانے کے,zamaane ke
پتھی,putthii
mañsuub,karna
انجینئری,engineer
ٹنچا,tanchaaii
رویت ہلال,ruuyat-e-hilaal
نفیس nafiis,intj wh waah
سٹ,sate
زٹل قافیے,zatal-qaafiye
شروع,kar
خواب,khawab
جعلسازی,jaa'l-saazii
اجراف,ajraaf
منشاریت,minshaariyat
ابُو بکر,Abubakar
نابغۂ وقت,naabiga-e-vaqt
سعیدہ,Saiyyda
محاصرے,muhaasare
خود آگاہ,khud-aagaah
